Title,Note,URL,Tags,Comment
The Untitled Sandwich Shop,,https://www.google.com/maps/place/The+Untitled+Sandwich+Shop/data=!4m2!3m1!1s0x4876038b1696fec3:0x13e2e3869cb30732,,
Italo,,https://www.google.com/maps/place/Italo/data=!4m2!3m1!1s0x487604ed9fd2877b:0x4998b1e56982cc49,,
Fernando's,,https://www.google.com/maps/place/Fernando's/data=!4m2!3m1!1s0x487604cdc883df13:0x47eb91a5e5401abb,,
Dal Fiorentino Hoxton,,https://www.google.com/maps/place/Dal+Fiorentino+Hoxton/data=!4m2!3m1!1s0x48761ddeaef125d5:0x6edc22f98306485b,,
Francesco’s Chicken,,https://www.google.com/maps/place/Francesco%E2%80%99s+Chicken/data=!4m2!3m1!1s0x48760329e276fefb:0xd6acc8cef91f651d,,
Cut The Mustard,,https://www.google.com/maps/place/Cut+The+Mustard/data=!4m2!3m1!1s0x487607c83a08aafb:0xb5a53c470ca1322a,,
Gerry's Hot Subs,,https://www.google.com/maps/place/Gerry's+Hot+Subs/data=!4m2!3m1!1s0x48760fc7678893dd:0xf9f070d23facadfc,,
Dino's Deli,sandwiches ,https://www.google.com/maps/place/Dino's+Deli/data=!4m2!3m1!1s0x48761b2fb4c397db:0x570692ccb64167aa,,
Pachamama East,,https://www.google.com/maps/place/Pachamama+East/data=!4m2!3m1!1s0x48761caffe695555:0x4c787e25d8bb928b,,
Bad Moon Cafe,,https://www.google.com/maps/place/Bad+Moon+Cafe/data=!4m2!3m1!1s0x48760382043a0291:0x4238b26a11a81e4e,,
FreePlayCity,,https://www.google.com/maps/place/FreePlayCity/data=!4m2!3m1!1s0x48761d1e6d63bbfb:0xdb74b725a9bac293,,
The Fellow,,https://www.google.com/maps/place/The+Fellow/data=!4m2!3m1!1s0x48761b3eb1364ea3:0xa82346e8b3694381,,
DUCKSOUP,,https://www.google.com/maps/place/DUCKSOUP/data=!4m2!3m1!1s0x487604d31e133b33:0x63e1f809f021c29d,,
The Blackfriar,,https://www.google.com/maps/place/The+Blackfriar/data=!4m2!3m1!1s0x487604a57e5bab29:0x158016f71c08680e,,
Starlane Pizza Bar,,https://www.google.com/maps/place/Starlane+Pizza+Bar/data=!4m2!3m1!1s0x47d8a74df0727e8f:0xa75f62ad9801735b,,
Mc & Sons,pub and Thai food,https://www.google.com/maps/place/Mc+%26+Sons/data=!4m2!3m1!1s0x487604a5fd52c641:0xd7b4af5823c83b6a,,
Maramia Cafe,,https://www.google.com/maps/place/Maramia+Cafe/data=!4m2!3m1!1s0x4876101909ea531d:0x912c5ed42a7cf4a9,,
Bankrupt Store,,https://www.google.com/maps/place/Bankrupt+Store/data=!4m2!3m1!1s0x48761df7730920ef:0x220bdc879d3b7e4d,,
Mambow,,https://www.google.com/maps/place/Mambow/data=!4m2!3m1!1s0x48761d861b1591c9:0xc148016c44c9b85,,
BeauBeaus,chess club tuesdays,https://www.google.com/maps/place/BeauBeaus/data=!4m2!3m1!1s0x48761d53f6368bb5:0xf6587f9ccefd1891,,
Lucia's,,https://www.google.com/maps/place/Lucia's/data=!4m2!3m1!1s0x48761d002ec82b4d:0x81d6277e7d23c0bb,,
Conservatory Archives Lower Clapton Road,,https://www.google.com/maps/place/Conservatory+Archives+Lower+Clapton+Road/data=!4m2!3m1!1s0x48761d458317ca0b:0x5e52c73fb1b2d605,,
Atlantis Records Hackney,,https://www.google.com/maps/place/Atlantis+Records+Hackney/data=!4m2!3m1!1s0x48761cfbced4826f:0xffe1b2de87816f96,,
